"PER_ID";"PER_TITEL";"PER_VOORNAMEN";"PER_TUSSENVOEGSELS";"PER_ACHTERNAAM";"SCHRIJVER";"GEBOORTEDATUM";"GEBOORTEPLAATS";"STERFDATUM";"STERFPLAATS"
"76935";"";"Sietse";"";"Wieringa";"Sietse Wieringa";"26-12-1976";"Delft";"";""
"76936";"";"Elly";"";"Bijl";"Elly Bijl";"16-10-1932";"Den Haag ('s-Gravenhage)";"18-11-2014";"Naaldwijk"
"13592";"";"Pieter";"";"Terpstra";"Pieter Terpstra";"29-12-1919";"Leeuwarden";"26-01-2006";"Leeuwarden"
"96219";"";"Gerard";"";"Straathof";"Gerard Straathof";"30-12-1952";"Leiden";"";""
"42404";"";"Coos";"";"Versteeg";"Coos Versteeg";"22-12-1953";"";"";""
"71328";"";"Klaas";"";"Woudt";"Klaas Woudt";"13-05-1923";"";"19-12-2012";""
"81579";"";"Claudia";"";"Biegel";"Claudia Biegel";"Tussen 01-01-1957 en 31-12-1957";"Amsterdam";"";""
"19234";"";"G.";"";"Stuiveling";"G. Stuiveling";"21-12-1907";"Stroobos";"11-05-1985";"Hilversum"
"27770";"";"Adrian";"";"Mitchell";"Adrian Mitchell";"24-10-1932";"Londen";"20-12-2008";"Londen"
"14873";"";"Peter";"";"Bügel";"Peter Bügel";"15-02-1945";"";"17-08-2013";""
"85482";"";"Wolf";"";"Wondratschek";"Wolf Wondratschek";"14-08-1943";"Thüringen";"";""
"151";"";"Billy";"";"Graham";"Billy Graham";"07-11-1918";"Charlotte";"21-02-2018";""
"4881";"";"H.L.";"";"Kok";"H.L. Kok";"Tussen 01-01-1923 en 31-12-1923";"Groningen";"";""
"13135";"";"Ruud";"";"Abma";"Ruud Abma";"Tussen 01-01-1951 en 31-12-1951";"Gorssel";"";""
"88428";"";"Eleonore";"";"Vigenon";"Eleonore Vigenon";"Tussen 01-01-1938 en 31-12-1938";"Gent";"05-08-2008";"Drongen"
"57590";"";"R.A.";"";"Roe";"R.A. Roe";"11-08-1944";"Amsterdam";"22-02-2016";"Leipzig"
"81056";"";"Wim";"";"Ruitenbeek";"Wim Ruitenbeek";"01-12-1943";"Doorn";"01-08-2015";"Alkmaar"
"41339";"";"Ursula";"";"Le Guin";"Ursula Le Guin";"21-10-1929";"Berkeley";"22-01-2018";""
"90331";"";"Bart";"";"Makken";"Bart Makken";"13-06-1957";"Den Ham";"27-02-2009";"Antwerpen"
"8120";"";"Henryk";"";"Sienkiewicz";"Henryk Sienkiewicz";"05-05-1846";"Wola Okrzejska";"15-11-1916";"Vevey"
"3614";"";"Gode-Liva";"";"Uleners";"Gode-Liva Uleners";"20-02-1933";"Antwerpen";"30-09-2002";"Mechelen"
"62971";"";"H.C.F.";"";"Schoordijk";"H.C.F. Schoordijk";"Tussen 01-01-1926 en 31-12-1926";"";"";""
"904";"";"Bert";"";"Kouwenberg";"Bert Kouwenberg";"20-08-1947";"Den Haag ('s-Gravenhage)";"02-05-2015";"Den Haag ('s-Gravenhage)"
"4142";"";"Anne";"";"Cameron";"Anne Cameron";"20-08-1938";"Nanaimo";"";""
"55449";"";"Arie";"";"Sneeuw";"Arie Sneeuw";"19-02-1944";"";"25-11-2008";""
"9951";"";"Dorothy";"";"Parker";"Dorothy Parker";"22-08-1893";"Long Branch";"07-06-1967";"New York City"
"27461";"";"D.A.";"";"Cramer-Schaap";"D.A. Cramer-Schaap";"05-05-1893";"Baambrugge";"30-05-1976";"Heerde"
"34833";"";"Richard";"";"Matheson";"Richard Matheson";"20-02-1926";"New Jersey";"23-06-2013";""
"13630";"";"Tim";"";"O'Brien";"Tim O'Brien";"01-10-1946";"Austin";"";""
"10155";"";"Belinda";"";"Meuldijk";"Belinda Meuldijk";"07-01-1955";"Oostvoorne";"";""
"96234";"";"Andries";"";"Kaas";"Andries Kaas";"05-02-1908";"Alkmaar";"20-11-1976";"Berdoues"
"87571";"";"Eva";"";"Cossee";"Eva Cossee";"Tussen 01-01-1954 en 31-12-1954";"";"";""
"85248";"";"Peter";"";"Kouwenberg";"Peter Kouwenberg";"15-10-1947";"Eindhoven";"";""
"92042";"";"Patrick Leigh";"";"Fermor";"Patrick Leigh Fermor";"11-02-1915";"Londen";"10-06-2011";"Dumbleton"
"34697";"";"Gerard";"";"Tonen";"Gerard Tonen";"29-12-1954";"Den Bosch ('s-Hertogenbosch)";"";""
"10791";"";"Agave";"";"Kruijssen";"Agave Kruijssen";"01-10-1959";"Haarlem";"";""
"14724";"";"Max";"";"Arab";"Max Arab";"17-03-1931";"";"18-11-2009";""
"21382";"";"Willemien";"";"Min";"Willemien Min";"23-01-1956";"Bergen";"";""
"27962";"";"William Henry";"";"Hudson";"William Henry Hudson";"04-08-1841";"Quilmes";"18-08-1922";"Londen"
"1585";"";"Otto S.";"";"Lankhorst";"Otto S. Lankhorst";"Tussen 01-01-1953 en 31-12-1953";"";"";""
"32047";"";"Annette Curtis";"";"Klause";"Annette Curtis Klause";"20-06-1953";"Bristol";"";""
"11862";"";"Theodor";"";"Storm";"Theodor Storm";"14-09-1817";"Husum";"04-07-1888";"Hanerau-Hademarschen"
"5625";"";"Jorge";"";"Semprún";"Jorge Semprún";"10-12-1923";"Madrid";"07-06-2011";"Parijs (stad)"
"7724";"";"Gustav";"";"Schwab";"Gustav Schwab";"19-06-1792";"Stuttgart";"04-11-1850";"Stuttgart"
"93776";"";"Jos";"";"Pierreux";"Jos Pierreux";"19-12-1957";"";"";""
"86410";"";"Theo";"";"Uytenhaak";"Theo Uytenhaak";"08-02-1952";"Amsterdam";"28-10-2013";"Amsterdam"
"31337";"";"Suzanne Fisher";"";"Staples";"Suzanne Fisher Staples";"27-08-1945";"Philadelphia";"";""
"40195";"";"Sheila";"";"Burnford";"Sheila Burnford";"11-05-1918";"Schotland";"20-04-1984";"Hampshire"
"44354";"";"J.W.";"";"Oerlemans";"J.W. Oerlemans";"22-05-1926";"Velsen";"20-03-2011";"Poortugaal"
"29517";"";"Arianne";"";"Baggerman";"Arianne Baggerman";"Tussen 01-01-1959 en 31-12-1959";"Schiedam";"";""
"63881";"";"Marcus";"";"Heeresma";"Marcus Heeresma";"06-06-1936";"Amsterdam";"27-04-1991";"Amsterdam"
"47582";"";"Michael";"";"Allaby";"Michael Allaby";"18-09-1933";"Derbyshire";"";""
"20119";"";"Jan";"";"Mark";"Jan Mark";"22-06-1943";"Welwyn";"16-01-2006";"Oxford"
"15584";"";"L.J.";"";"Giebels";"L.J. Giebels";"Tussen 01-01-1935 en 31-12-1935";"Geldrop";"12-10-2011";"Breda"
"34203";"";"René";"";"Diekstra";"René Diekstra";"20-07-1946";"";"";""
"26259";"";"Harold";"";"Bloom";"Harold Bloom";"11-07-1930";"New York City";"14-10-2019";"New Haven"
"89829";"";"Hans";"";"Rombouts";"Hans Rombouts";"20-08-1931";"Haarlem";"11-03-2013";""
"99225";"";"Hetty";"";"Wertheim-Gijse Weenink";"Hetty Wertheim-Gijse Weenink";"Tussen 01-01-1903 en 31-12-1903";"";"16-05-1988";""
"12315";"";"Garth";"";"Williams";"Garth Williams";"16-04-1912";"New York City";"08-05-1996";"Mexico"
"83916";"";"Tine";"";"Pulles";"Tine Pulles";"10-09-1915";"Nijmegen";"";""
"76869";"";"Winnie";"";"Mandela";"Winnie Mandela";"26-09-1936";"";"";""
"12227";"";"Ernst";"";"Braches";"Ernst Braches";"08-10-1930";"Padang";"";""
"33542";"";"Hans";"";"Bloemendal";"Hans Bloemendal";"Tussen 01-01-1923 en 31-12-1923";"Fulda";"07-10-2015";"Malden"
"61740";"";"Chris";"";"Overbeeke";"Chris Overbeeke";"05-01-1946";"Haaksbergen";"";""
"61741";"";"Vera";"";"Witte";"Vera Witte";"24-12-1918";"Harlingen";"28-11-1994";"Leeuwarden"
"30033";"";"Rosa";"";"Montero";"Rosa Montero";"03-01-1951";"Madrid";"";""
"28501";"";"Willem";"";"Walraven";"Willem Walraven";"07-06-1887";"Dirksland";"13-02-1943";"Kesilir"
"4300";"";"John";"";"Jansen van Galen";"John Jansen van Galen";"15-07-1940";"Velp";"";""
"63760";"";"John";"";"Green";"John Green";"24-08-1977";"Indianapolis";"";""
"15348";"";"Pablo";"";"Neruda";"Pablo Neruda";"12-07-1904";"Parral";"23-09-1973";"Santiago"
"1252";"";"Gerard";"";"Rooijakkers";"Gerard Rooijakkers";"Tussen 01-01-1962 en 31-12-1962";"";"";""
"3014";"";"Joël";"";"Robuchon";"Joël Robuchon";"07-04-1945";"Poitiers";"06-08-2018";"Genève"
"55314";"";"Elizabeth";"";"Seifert";"Elizabeth Seifert";"19-06-1897";"Washington DC";"17-06-1983";""
"84923";"";"Hein";"";"Kreulen";"Hein Kreulen";"03-09-1952";"Heino";"10-12-2010";"Groningen"
"30252";"";"Simon";"";"Wiesenthal";"Simon Wiesenthal";"31-12-1908";"Buczacz";"20-09-2005";"Wenen"
"85296";"";"Ben";"";"Bos*1934-*";"Ben Bos*1934-*";"05-04-1934";"Groningen";"25-08-2006";"Amersfoort"
"77922";"";"Leo";"";"Bormans";"Leo Bormans";"02-08-1954";"";"";""
"29428";"";"Gijs";"";"Wallis de Vries";"Gijs Wallis de Vries";"07-04-1952";"Semarang";"";""
"81440";"";"Coos";"";"Huijsen";"Coos Huijsen";"20-03-1939";"Den Haag ('s-Gravenhage)";"";""
"83991";"";"Harry";"";"Peeters";"Harry Peeters";"03-10-1931";"Venray";"17-11-2012";"Amsterdam"
"46503";"";"Daan";"";"Dijksman";"Daan Dijksman";"Tussen 01-01-1946 en 31-12-1946";"";"";""
"2806";"";"P.F.";"";"Maas";"P.F. Maas";"Tussen 01-01-1944 en 31-12-1944";"";"28-05-2010";"Benidorm"
"45888";"";"Eve";"";"Bunting";"Eve Bunting";"19-12-1928";"Noord-Ierland";"";""
"88554";"";"Eva";"";"Biesheuvel-Gütlich";"Eva Biesheuvel-Gütlich";"13-10-1938";"";"20-11-2018";""
"15506";"";"Hans";"";"Driessen";"Hans Driessen";"Tussen 01-01-1953 en 31-12-1953";"";"06-09-2017";"Nijmegen"
"7403";"";"Gerard";"";"Koolschijn";"Gerard Koolschijn";"21-11-1945";"Den Haag ('s-Gravenhage)";"";""
"13067";"";"Piet Hein";"";"Honig";"Piet Hein Honig";"Tussen 01-01-1957 en 31-12-1957";"";"11-10-2009";""
"5690";"";"Jacobus";"";"Revius";"Jacobus Revius";"Tussen 01-11-1586 en 30-11-1586";"Deventer";"15-11-1658";"Leiden"
"13954";"";"Errit";"";"Petersma";"Errit Petersma";"08-04-1940";"Vlissingen";"05-06-2013";"Amsterdam"
"52351";"";"T.J.";"";"Kerpel";"T.J. Kerpel";"11-01-1930";"Zevenbergen";"Tussen 01-01-2007 en 31-12-2007";""
"1054";"";"Larry";"";"Iburg";"Larry Iburg";"Tussen 01-01-1955 en 31-12-1955";"";"";""
"14017";"";"Dirk";"";"Lauwaert";"Dirk Lauwaert";"";"";"10-08-2013";""
"555";"";"Christine";"";"Kliphuis";"Christine Kliphuis";"19-09-1957";"Enschede";"";""
"69493";"";"François";"";"Cavanna";"François Cavanna";"22-02-1923";"Parijs (stad)";"29-01-2014";"Créteil"
"7958";"";"G.T.";"";"Haneveld";"G.T. Haneveld";"Tussen 01-01-1929 en 31-12-1929";"Sumatra";"07-01-2009";"Middelbeers"
"84826";"";"L.M.M.";"";"Heerkens";"L.M.M. Heerkens";"28-11-1958";"";"17-07-2014";""
"4726";"";"Sarah";"";"Verroen";"Sarah Verroen";"Tussen 01-01-1957 en 31-12-1957";"";"";""
"3086";"";"Madeleine";"";"L'Engle";"Madeleine L'Engle";"29-11-1918";"New York City";"06-09-2007";"Litchfield"
"81386";"";"Frans";"";"Vink";"Frans Vink";"03-12-1935";"";"28-03-2015";""
"83081";"";"Klaus";"";"Beekman";"Klaus Beekman";"17-06-1945";"Berlijn";"";""
"30832";"";"Nico";"";"Laan";"Nico Laan";"Tussen 01-01-1951 en 31-12-1951";"";"";""
"19955";"";"Olga";"";"Krijtová";"Olga Krijtová";"30-03-1931";"Hradec Králové";"07-11-2013";"Praag"
"40977";"";"Ernst";"";"Jansz";"Ernst Jansz";"24-05-1948";"Amsterdam";"";""
"44548";"";"Stan";"";"Verschuuren";"Stan Verschuuren";"19-06-1950";"Tilburg";"15-10-2008";"Amsterdam"
"13345";"";"Maaike";"";"Meijer";"Maaike Meijer";"Tussen 01-01-1949 en 31-12-1949";"";"";""
"3792";"";"Edith";"";"Wharton";"Edith Wharton";"24-01-1862";"New York City";"11-08-1937";"Saint-Brice-sous-Forêt"
"16699";"";"Eli";"";"Asser";"Eli Asser";"22-12-1922";"Amsterdam";"26-01-2019";"Amsterdam"
"40766";"";"Gerrit Jan";"";"Kleinrensink";"Gerrit Jan Kleinrensink";"07-03-1943";"Wageningen";"04-06-2014";"Nijmegen"
"27552";"";"M.F.";"";"Fresco";"M.F. Fresco";"09-07-1925";"Düsseldorf";"16-12-2011";"Leiden"
"83349";"";"Ron";"";"Blom";"Ron Blom";"Tussen 01-01-1963 en 31-12-1963";"";"";""
"27725";"";"Frans";"";"Otten";"Frans Otten";"06-12-1903";"Hoorn";"06-06-2001";"Bergen"
"83645";"";"Grace";"";"Paley";"Grace Paley";"11-12-1922";"New York City";"22-08-2007";"Thetford Hill"
"94782";"";"J.A.";"";"Rothengatter";"J.A. Rothengatter";"Tussen 01-01-1948 en 31-12-1948";"";"Tussen 01-02-2009 en 28-02-2009";""
"20818";"";"Peter";"";"Burke";"Peter Burke";"16-08-1937";"";"";""
"79184";"";"Ursula";"";"Wölfel";"Ursula Wölfel";"16-09-1922";"Noordrijn-Westfalen";"21-07-2014";"Heidelberg"
"16912";"";"Ninon";"";"Vis";"Ninon Vis";"15-05-1937";"Haarlem";"";""
"65718";"";"Mary";"";"Norton";"Mary Norton";"10-12-1903";"Londen";"29-08-1992";"Devon/Devonshire"
"530";"";"Betty";"";"Sluyzer";"Betty Sluyzer";"12-07-1953";"Amsterdam";"";""
"13072";"";"A.L.";"";"Snijders";"A.L. Snijders";"24-09-1937";"Amsterdam";"";""
"101096";"";"Frederieke";"";"Hijink";"Frederieke Hijink";"Tussen 01-01-1964 en 31-12-1964";"Winterswijk";"02-03-2013";""
"39358";"";"Lynn";"";"Margulis";"Lynn Margulis";"05-03-1938";"Chicago";"22-11-2011";"Amherst"
"44891";"";"Jean";"";"Echenoz";"Jean Echenoz";"26-12-1947";"Orange";"";""
"7083";"";"Rob";"";"Herwig";"Rob Herwig";"Tussen 01-01-1935 en 31-12-1935";"";"";""
"11132";"";"J.J.M.";"";"Westenbroek";"J.J.M. Westenbroek";"16-10-1926";"Den Haag ('s-Gravenhage)";"19-07-2012";"Arnhem"
"27542";"";"Jaap";"";"Dronkers";"Jaap Dronkers";"12-01-1945";"Amsterdam";"30-03-2016";"Haarlem"
"44152";"";"Pieter";"";"Brouwer";"Pieter Brouwer";"24-03-1945";"Roermond";"";""
"44283";"";"J.F.";"";"Niessen-Hossele";"J.F. Niessen-Hossele";"02-07-1920";"Amsterdam";"23-05-2015";"Amsterdam"
"22216";"";"Hans";"";"Kuyper";"Hans Kuyper";"06-03-1962";"Oostvoorne";"";""
"29426";"";"Peter";"";"Jonkman";"Peter Jonkman";"17-04-1932";"Amsterdam";"09-09-2019";"Voorburg"
"83526";"";"Jacobus";"";"Craandijk";"Jacobus Craandijk";"07-09-1834";"Amsterdam";"03-06-1912";"Haarlem"
"13599";"";"Robert";"";"Harris";"Robert Harris";"07-03-1957";"Nottingham";"";""
"32019";"";"Karel N.L.";"";"Grazell";"Karel N.L. Grazell";"03-04-1928";"Amsterdam";"";""
"90064";"";"Ivan";"";"Moscovich";"Ivan Moscovich";"14-06-1926";"Ada";"";""
"11826";"";"Vita";"";"Sackville-West";"Vita Sackville-West";"09-03-1892";"Sevenoaks";"02-06-1962";"Cranbrook"
"57549";"";"Mieke";"de";"Loof";"Mieke de Loof";"03-10-1951";"Aalst";"";""
"69341";"";"Margaret";"";"Chamberlain";"Margaret Chamberlain";"11-06-1954";"";"";""
"1380";"";"Irvin D.";"";"Yalom";"Irvin D. Yalom";"13-06-1931";"Washington DC";"";""
"77937";"";"Piet";"";"Geelhoed";"Piet Geelhoed";"17-12-1943";"Kamperland";"16-07-2015";"Hilversum"
"11806";"";"Erik";"";"Lotichius";"Erik Lotichius";"24-09-1929";"Helmond";"18-11-2015";"Helchteren"
"79449";"";"Jacques";"";"Chapel";"Jacques Chapel";"10-06-1946";"Bergen op Zoom";"03-07-2008";""
"86916";"";"Louis M.";"";"Tas";"Louis M. Tas";"25-12-1920";"Amsterdam";"14-04-2011";"Amsterdam"
"20173";"";"Simone";"";"Kramer";"Simone Kramer";"09-07-1939";"Bodegraven-Reeuwijk";"";""
"77943";"";"Maurice";"";"Druon";"Maurice Druon";"23-04-1918";"Parijs (stad)";"14-04-2009";"Parijs (stad)"
"51507";"";"R.";"";"Breugelmans";"R. Breugelmans";"10-06-1943";"Rotterdam";"05-02-2010";"Leiden"
"65578";"";"Henk";"";"Westrus";"Henk Westrus";"26-05-1937";"Haarlem";"27-02-2013";"Hilversum"
"91294";"";"Willem";"";"Houtkoop";"Willem Houtkoop";"";"";"Tussen 01-02-2016 en 29-02-2016";""
"92612";"";"Jan";"";"Weima";"Jan Weima";"Tussen 01-01-1926 en 31-12-1926";"";"Tussen 01-11-2011 en 30-11-2011";""
"3850";"";"Edgar";"";"Wallace";"Edgar Wallace";"01-04-1875";"Greenwich";"10-02-1932";"Hollywood"
"675";"";"Sylvia";"";"Weve";"Sylvia Weve";"28-05-1954";"Utrecht";"";""
"38743";"";"Claire";"";"Goll";"Claire Goll";"29-10-1890";"Nürnberg";"30-05-1977";"Parijs (stad)"
"91256";"";"David Douglas";"";"Duncan";"David Douglas Duncan";"23-01-1916";"Kansas City";"";""
"21759";"";"Hein";"";"Aalders";"Hein Aalders";"Tussen 01-01-1957 en 31-12-1957";"Middelburg";"";""
"53690";"";"J.L.";"";"Eggermont";"J.L. Eggermont";"25-04-1921";"Sint-Jansteen";"21-01-2011";"Heemskerk"
"76996";"";"Mickey";"";"Walvisch";"Mickey Walvisch";"04-01-1941";"";"30-10-2011";"Amsterdam"
"79255";"";"Prosper";"";"De Smet";"Prosper De Smet";"02-06-1919";"Gent";"13-09-2005";"Gent"
"10249";"";"Yolanda";"";"Eveleens";"Yolanda Eveleens";"21-06-1951";"";"";""
"52975";"";"Jan";"";"Naaijkens";"Jan Naaijkens";"10-02-1919";"Hilvarenbeek";"17-04-2019";"Hilvarenbeek"
"35210";"";"Mieke";"";"Vestdijk-van der Hoeven";"Mieke Vestdijk-van der Hoeven";"Tussen 01-01-1938 en 31-12-1938";"";"30-12-2018";""
"102077";"";"Hans";"";"Liberg";"Hans Liberg";"18-04-1954";"Amsterdam";"";""
"79669";"";"Anneke M.G.";"";"Mensen-Siegers";"Anneke M.G. Mensen-Siegers";"Tussen 01-01-1940 en 31-12-1940";"";"";""
"17091";"";"Piet";"";"Leenders";"Piet Leenders";"03-02-1952";"Breukelen";"01-04-2009";"Driebergen"
"21017";"";"Richard";"";"Adams";"Richard Adams";"09-05-1920";"Newbury";"24-12-2016";""
"57071";"";"R.F.";"";"Lissens";"R.F. Lissens";"27-03-1912";"Leuven";"13-04-2016";"Herentals"
"10501";"";"Joop";"";"Bromet";"Joop Bromet";"13-09-1947";"Amsterdam";"30-12-2005";"Groningen"
"80999";"";"Jan";"";"Stassen";"Jan Stassen";"18-01-1951";"Venlo";"16-07-2015";"Nijmegen"
"12444";"";"Frans";"";"Oudejans";"Frans Oudejans";"Tussen 01-01-1926 en 31-12-1926";"";"05-06-2001";"Breda"
"12445";"";"W.H.Th.";"";"Knippenberg";"W.H.Th. Knippenberg";"Tussen 01-01-1910 en 31-12-1910";"";"Tussen 01-01-2005 en 31-12-2005";""
"68567";"";"Otto";"";"Hamburg";"Otto Hamburg";"05-04-1924";" Szczecin";"18-07-2013";"Laren"
"84281";"";"Thomas";"";"Winding";"Thomas Winding";"04-10-1936";"Kopenhagen";"05-07-2008";"Kopenhagen"
"98344";"";"J.";"";"Bruyn";"J. Bruyn";"28-03-1923";"Amsterdam";"11-06-2011";"Oegstgeest"
"30997";"";"Hans";"";"Bertens";"Hans Bertens";"Tussen 01-01-1945 en 31-12-1945";"";"";""
"80968";"";"André";"";"Matthijsse";"André Matthijsse";"24-05-1947";"Voorburg";"08-08-2006";"Amsterdam"
"91270";"";"Ernesto";"";"Sábato";"Ernesto Sábato";"24-06-1911";"Rojas";"30-04-2011";"Santos Lugares"
"11312";"";"Judy";"";"Hindley";"Judy Hindley";"Tussen 01-01-1940 en 31-12-1940";"";"";""
"25720";"";"C.P.G.";"";"Tilanus";"C.P.G. Tilanus";"18-10-1933";"Hilversum";"28-06-2016";"Woerden"
"8821";"";"Christophe";"";"Donner";"Christophe Donner";"04-07-1956";"Parijs (stad)";"";""
"51155";"";"Jules";"";"Theeuwes";"Jules Theeuwes";"Tussen 01-01-1944 en 31-12-1944";"";"06-11-2012";""
"62402";"";"Wiel";"";"Coerver";"Wiel Coerver";"03-12-1924";"Kerkrade";"22-04-2011";"Kerkrade"
"69763";"";"Rienk H.";"";"Kamer";"Rienk H. Kamer";"12-04-1943";"Rotterdam";"09-12-2011";""
"8168";"";"Nelson";"";"Mandela";"Nelson Mandela";"18-07-1918";"Mvezo";"05-12-2013";"Johannesburg"
"23467";"";"Henry";"";"James";"Henry James";"15-04-1843";"New York City";"28-02-1916";"Londen"
"7010";"";"René";"";"Kok";"René Kok";"Tussen 01-01-1958 en 31-12-1958";"";"";""
"74573";"";"Mauk";"";"Mulder";"Mauk Mulder";"29-09-1922";"";"15-09-2016";""
"44703";"";"Margreet";"";"Hirs";"Margreet Hirs";"Tussen 01-01-1941 en 31-12-1941";"Amstelveen";"";""
"32446";"";"Bernard";"";"MacLaverty";"Bernard MacLaverty";"14-09-1942";"Belfast";"";""
"108387";"";"Paul";"";"Hellmann";"Paul Hellmann";"Tussen 01-01-1935 en 31-12-1935";"Rotterdam";"";""
"101040";"";"Sim";"";"Van der Auwera";"Sim Van der Auwera";"11-03-1923";"Mechelen";"26-03-2006";"Brasschaat"
"18945";"";"Beatrijs";"";"Van Craenenbroeck";"Beatrijs Van Craenenbroeck";"Tussen 01-01-1944 en 31-12-1944";"";"";""
"76294";"";"Jenny";"";"Pisuisse";"Jenny Pisuisse";"31-03-1920";"Amsterdam";"";""
"5383";"";"Jan";"";"Bosmans";"Jan Bosmans";"06-07-1955";"";"";""
"17258";"";"Joke";"";"Reijnders";"Joke Reijnders";"27-08-1971";"Amerongen";"";""
"19706";"";"Jan";"";"Bruin";"Jan Bruin";"Tussen 01-01-1923 en 31-12-1923";"";"";""
"71399";"";"Kees";"";"Joosse";"Kees Joosse";"04-04-1945";"";"11-03-2017";""
"74085";"";"Piet";"";"Zandboer";"Piet Zandboer";"Tussen 01-01-1907 en 31-12-1907";"Rotterdam";"Tussen 01-01-1993 en 31-12-1993";"Bilthoven"
"74086";"";"Wanda";"";"Reumer";"Wanda Reumer";"Tussen 01-01-1914 en 31-12-1914";"";"16-05-2006";""
"76236";"";"Oskar";"";"Pastior";"Oskar Pastior";"20-10-1927";"Hermannstadt";"04-10-2006";"Frankfurt am Main"
"91361";"";"Andrea";"";"Dworkin";"Andrea Dworkin";"26-09-1946";"";"09-04-2005";""
"74049";"";"Sonja";"";"Barend";"Sonja Barend";"29-02-1940";"Amsterdam";"";""
"75650";"";"Sara";"";"Woods";"Sara Woods";"07-03-1922";"Bradford";"Tussen 01-01-1985 en 31-12-1985";"Toronto"
"13642";"";"Louis Peter";"";"Grijp";"Louis Peter Grijp";"23-01-1954";"Den Haag ('s-Gravenhage)";"09-01-2016";"Driebergen-Rijsenburg"
"76563";"";"Neil";"";"Simon";"Neil Simon";"04-07-1927";"Bronx";"26-08-2018";"New York City"
"85916";"";"Robert";"";"Walser";"Robert Walser";"15-04-1878";"Biel";"25-12-1956";"Herisau"
"55484";"";"Wolf";"";"Meesters";"Wolf Meesters";"30-01-1904";"Wommels";"Tussen 01-01-1996 en 31-12-1996";""
"54276";"";"L.M.A.";"";"Vuerhard";"L.M.A. Vuerhard";"01-09-1915";"Den Haag ('s-Gravenhage)";"";""
"85913";"";"Flip";"";"Vuijsje";"Flip Vuijsje";"Tussen 01-01-1949 en 31-12-1949";"";"";""
"75240";"";"Carlo";"";"Goldoni";"Carlo Goldoni";"25-02-1707";"Venetië";"Tussen 06-02-1793 en 07-02-1793";"Parijs (stad)"
"76303";"";"Ton";"";"Luijten";"Ton Luijten";"10-03-1939";"Wijchen";"13-04-2015";"Warnsveld"
"33297";"";"Wim";"";"Hartog";"Wim Hartog";"Tussen 01-01-1940 en 31-12-1940";"";"";""
"6994";"";"Wim";"";"Huijser";"Wim Huijser";"Tussen 01-01-1960 en 31-12-1960";"";"";""
"2714";"";"Daphne";"";"Du Maurier";"Daphne Du Maurier";"13-05-1907";"Londen";"19-04-1989";"Fowey"
"76135";"";"Hans";"";"Prins";"Hans Prins";"Tussen 01-12-1945 en 31-12-1945";"Rotterdam";"";""
"81616";"";"Elizabeth";"";"Goudge";"Elizabeth Goudge";"24-04-1900";"Somerset";"01-04-1984";""
"74360";"";"A.L.";"";"Broer";"A.L. Broer";"28-12-1900";"Giethoorn";"21-05-1994";""
"78426";"";"Abraham";"";"Kuyper";"Abraham Kuyper";"29-10-1837";"Maassluis";"08-11-1920";"Den Haag ('s-Gravenhage)"
"14312";"";"René";"";"Vos";"René Vos";"07-10-1942";"Amsterdam";"10-04-2016";"Delft"
"31004";"";"Janet";"";"Luis";"Janet Luis";"Tussen 01-01-1957 en 31-12-1957";"";"";""
"21365";"";"Aleid";"";"Truijens";"Aleid Truijens";"22-12-1955";"Amsterdam";"";""
"88637";"";"Anthony";"";"Trollope";"Anthony Trollope";"24-04-1815";"Londen";"06-12-1882";"Londen"
"25816";"";"F.";"";"De Tollenaere";"F. De Tollenaere";"08-07-1912";"Ronse";"12-12-2009";"Warmond"
"10212";"";"Modeste";"";"Herwig";"Modeste Herwig";"Tussen 01-01-1963 en 31-12-1963";"";"";""
"103264";"";"Piet";"";"Buwalda";"Piet Buwalda";"Tussen 01-01-1925 en 31-12-1925";"";"";""
"34319";"";"Hans";"";"Hom";"Hans Hom";"Tussen 01-01-1942 en 31-12-1942";"";"";""
"25282";"";"Hans";"";"Groenewegen";"Hans Groenewegen";"25-05-1956";"Heemstede";"10-06-2013";"Rijswijk"
"80162";"";"Henk";"";"Wesseling";"Henk Wesseling";"06-08-1937";"Den Haag ('s-Gravenhage)";"18-08-2018";"Oegstgeest"
"76658";"";"M.";"";"Reisel";"M. Reisel";"25-04-1913";"Amsterdam";"Tussen 01-01-1989 en 31-01-1989";"Jeruzalem"
"33245";"";"Cora";"";"Polet";"Cora Polet";"Tussen 01-01-1930 en 31-12-1930";"";"25-10-2016";"Amsterdam"
"74247";"";"P.H.A.M.";"";"Abels";"P.H.A.M. Abels";"Tussen 01-01-1956 en 31-12-1956";"";"";""
"36337";"";"Chrétien";"";"Breukers";"Chrétien Breukers";"28-03-1965";"Leveroy";"";""
"37607";"mr.";"T.";"";"Koopmans";"T. Koopmans";"11-08-1929";"Amsterdam";"24-12-2015";"Voorburg"
"33682";"";"Coby";"";"Hol";"Coby Hol";"Tussen 01-01-1943 en 31-12-1943";"Leiden";"";""
"66363";"";"Leonora";"";"Carrington";"Leonora Carrington";"06-04-1917";"Clayton-le-Woods";"25-05-2011";"Mexico City"
"16359";"";"Christoph";"";"Ransmayr";"Christoph Ransmayr";"20-03-1954";"Wels";"";""
"5855";"Prof. Dr.";"J.";"";"Pen";"J. Pen";"15-02-1921";"Lemmer";"14-02-2010";"Haren"
